Pot;Hauteur;Recouvrement;Mesure;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
236;3.5;10;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
237;3.5;22;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
238;0.1;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
239;4;4;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240;3;5;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
241;2.5;5;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
242;4;3;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
243;1.5;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
244;2;3;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
245;2.5;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
246;3.5;2;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
247;3.5;2;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
248;3;2;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
249;2.5;2;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
250;0;0;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
251;0;0;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
252;0;0;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
253;0;0;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
254;0;0;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
255;0;0;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
256;0;0;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
257;3;3;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
258;2.5;10;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
259;4.5;17;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
260;4;40;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
261;0.1;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
262;2;2;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
263;5;40;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
264;2;3;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
265;3;15;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
266;3.5;25;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
267;2;3;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
268;2.5;10;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
269;3;10;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
270;3;12;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
271;3;10;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
272;2;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
273;2;5;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
274;3;4;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
275;4;6;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
276;0.1;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
277;2;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
278;4;15;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
279;2;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
280;3.5;5;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
281;3;2;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
282;0.1;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
283;3.5;4;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
284;2;7;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
285;3;4;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
286;3.5;5;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
287;1.5;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
288;3.5;4;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
289;2;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
290;2.5;7;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
291;2.5;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
292;2;2;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
293;3;2;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
294;0;0;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
295;0;0;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
296;0;0;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
297;0;0;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
298;0;0;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
299;0;0;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300;0;0;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
301;4;7;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
302;2;12;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
303;3;8;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
304;3.5;50;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
305;0.1;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
306;2;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
307;4;25;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
